parentName	parentAbundance	numOfChildren	mean	sd	median	predictedMean	predictedSd	mean.inference	sd.inference
1	parent000001	682707	599	1.95138975628388	0.638819562827103	1.9731278535997	1.8790286604048	0.740746328585443	1.95138975628388	0.740746328585443
2	parent000002	589423	597	1.85296714626616	0.629360610739109	1.86923171973098	1.81539680914221	0.727127399608137	1.85296714626616	0.727127399608137
3	parent000003	301037	582	1.63179697022321	0.657607209312302	1.65321251377534	1.54286496430756	0.666972450874509	1.63179697022321	0.666972450874509
4	parent000004	210870	549	1.43242933341599	0.662818816765737	1.46239799789896	1.41089748985816	0.636340779449957	1.43242933341599	0.662818816765737
5	parent000005	177898	545	1.33322640372431	0.621779461652374	1.36172783601759	1.3509376960564	0.6219694230492	1.3509376960564	0.6219694230492
6	parent000006	170897	556	1.40581768143365	0.63759997590975	1.39794000867204	1.33707080912707	0.618598434639616	1.40581768143365	0.63759997590975
7	parent000007	138393	491	1.26835900614011	0.648029407411096	1.25527250510331	1.26604378617355	0.601017802826532	1.26835900614011	0.648029407411096
8	parent000008	115719	504	1.20118347909486	0.567398170178769	1.20411998265592	1.20822872139246	0.586268226293693	1.20822872139246	0.586268226293693
9	parent000009	111667	508	1.17580919889066	0.580203198149054	1.14612803567824	1.19697909411423	0.583346494809398	1.19697909411423	0.583346494809398
10	parent000010	111244	504	1.21233912127887	0.578492659239795	1.20411998265592	1.19578650226786	0.58303570391055	1.21233912127887	0.58303570391055
11	parent000011	105293	518	1.21028752554664	0.588885686696066	1.24286071324079	1.17862346558312	0.578540007291367	1.21028752554664	0.588885686696066
12	parent000012	102126	513	1.21749390597094	0.557424911960496	1.23044892137827	1.16918137807772	0.576047923384339	1.21749390597094	0.576047923384339
13	parent000013	101886	471	1.12306138806029	0.596806654930506	1.07918124604762	1.1684566653132	0.57585608098922	1.1684566653132	0.596806654930506
14	parent000014	89530	470	1.07149578796474	0.606930987772633	1.04139268515822	1.12923361515489	0.565346775810332	1.12923361515489	0.606930987772633
15	parent000015	89437	469	1.1328808964463	0.571762040657539	1.07918124604762	1.12892306435834	0.565262537754813	1.1328808964463	0.571762040657539
16	parent000016	82274	518	1.16826858752749	0.524922701679578	1.17609125905568	1.10422752576581	0.558508552461622	1.16826858752749	0.558508552461622
17	parent000017	80813	475	1.102620828812	0.585533888429774	1.04139268515822	1.09899120197385	0.557062012985761	1.102620828812	0.585533888429774
18	parent000018	79628	511	1.10831888598095	0.545829622206782	1.11394335230684	1.09469113478449	0.555870197739663	1.10831888598095	0.555870197739663
19	parent000019	77677	472	1.0396186822674	0.558593962814592	1	1.08750477353064	0.553870386532467	1.08750477353064	0.558593962814592
20	parent000020	77309	454	1.00667380872865	0.554576259856189	0.928666248215634	1.08613402270393	0.55348777995375	1.08613402270393	0.554576259856189
21	parent000021	74759	449	1.03884237392906	0.591234597370516	0.954242509439325	1.07649790255986	0.550787472953678	1.07649790255986	0.591234597370516
22	parent000022	72928	480	1.07239906755696	0.505961481242628	1.04139268515822	1.06942505885344	0.54879336303743	1.07239906755696	0.54879336303743
23	parent000023	72337	447	1.02142405423566	0.603003794158409	0.954242509439325	1.06711366169832	0.548139422882713	1.06711366169832	0.603003794158409
24	parent000024	69312	433	1.02403102168061	0.549190032949475	0.954242509439325	1.05505612435413	0.544709568151719	1.05505612435413	0.549190032949475
25	parent000025	68602	454	1.02986456727167	0.535093592016187	1	1.05216922476159	0.543883663982846	1.05216922476159	0.543883663982846
26	parent000026	67399	426	0.964792344492753	0.560281392351658	0.903089986991944	1.0472264442235	0.542465285580325	1.0472264442235	0.560281392351658
27	parent000027	66914	445	1.03558889161648	0.540418450857865	1	1.04521510679524	0.541886536755011	1.04521510679524	0.541886536755011
28	parent000028	66415	397	0.995124843483925	0.5944948556713	0.903089986991944	1.04313434647114	0.541286842691882	1.04313434647114	0.5944948556713
29	parent000029	65416	422	0.943125185284162	0.53215278102508	0.845098040014257	1.03893345012325	0.54007307402459	1.03893345012325	0.54007307402459
30	parent000030	62638	392	0.922515877727149	0.584802284052749	0.845098040014257	1.0269957754228	0.536601311318427	1.0269957754228	0.584802284052749
31	parent000031	57460	439	0.984754967992739	0.562782842409175	0.903089986991944	1.00365797907565	0.529713027968078	1.00365797907565	0.562782842409175
