parentName	parentAbundance	numOfChildren	mean	sd	median	predictedMean	predictedSd	mean.inference	sd.inference
1	parent000001	186097	738	1.72115999611212	0.582270425088842	1.77085201164214	1.54040049261152	0.607745365774139	1.72115999611212	0.607745365774139
2	parent000002	138817	715	1.55145741521701	0.620710836054885	1.57978359661681	1.42911408088636	0.587604923819833	1.55145741521701	0.620710836054885
3	parent000003	124336	718	1.49410009831208	0.549241579213086	1.53147891704226	1.38920359753587	0.580396843735306	1.49410009831208	0.580396843735306
4	parent000004	116089	705	1.46525005193366	0.565488185412689	1.51851393987789	1.364867427133	0.576006362270701	1.46525005193366	0.576006362270701
5	parent000005	76633	685	1.36750953240536	0.584110622798838	1.38021124171161	1.22614535887735	0.55106946856208	1.36750953240536	0.584110622798838
6	parent000006	59336	614	1.17377711997682	0.597394235746349	1.14612803567824	1.14793523940727	0.537102313631437	1.17377711997682	0.597394235746349
7	parent000007	55424	610	1.03681718599604	0.491814934816458	1.04139268515822	1.12800469146454	0.53355729344344	1.12800469146454	0.53355729344344
8	parent000008	51789	599	1.11781287231147	0.601923430417187	1.07918124604762	1.10856458065083	0.530106038620498	1.11781287231147	0.601923430417187
9	parent000009	42229	555	1.04971652763779	0.554250371902334	0.954242509439325	1.05237264068005	0.520171715969027	1.05237264068005	0.554250371902334
10	parent000010	35453	516	0.91991711946126	0.493930985325616	0.903089986991944	1.00693224468622	0.512192277164483	1.00693224468622	0.512192277164483
11	parent000011	31645	595	1.03824859612702	0.513658130278929	1.04139268515822	0.978746407428923	0.50727242831754	1.03824859612702	0.513658130278929
12	parent000012	28197	532	0.974645863557918	0.562725703087402	0.903089986991944	0.951199866320846	0.502490040951232	0.974645863557918	0.562725703087402
13	parent000013	27899	511	0.891408149158777	0.553789651865214	0.778151250383644	0.948716949717342	0.502060366112685	0.948716949717342	0.553789651865214
14	parent000014	23895	506	0.873167598133009	0.525865797829552	0.778151250383644	0.913544256176567	0.496001368448944	0.913544256176567	0.525865797829552
15	parent000015	23692	496	0.785812143518554	0.418004250901346	0.698970004336019	0.911663171226503	0.495678895435064	0.911663171226503	0.495678895435064
16	parent000016	23656	542	0.86507244979749	0.45001500976121	0.778151250383644	0.911328509570237	0.495621542557578	0.911328509570237	0.495621542557578
17	parent000017	20895	433	0.811621166230271	0.487223549213327	0.778151250383644	0.884638090170412	0.491065931523796	0.884638090170412	0.491065931523796
18	parent000018	20572	450	0.80734676962516	0.531555888189479	0.698970004336019	0.881374412103535	0.490511538986647	0.881374412103535	0.531555888189479
19	parent000019	19151	401	0.787273681025667	0.491199159905809	0.698970004336019	0.866627647973669	0.488014482509612	0.866627647973669	0.491199159905809
20	parent000020	18947	423	0.841670678394053	0.521000249032419	0.698970004336019	0.86445617698888	0.487647936061328	0.86445617698888	0.521000249032419
21	parent000021	18022	343	0.697838597773751	0.443524880157906	0.602059991327962	0.854427775694875	0.485959184280846	0.854427775694875	0.485959184280846
22	parent000022	16471	446	0.764434560712057	0.486866299895003	0.698970004336019	0.836895166910394	0.483023885646082	0.836895166910394	0.486866299895003
23	parent000023	15942	423	0.793565430572396	0.522958221536669	0.698970004336019	0.830693103873743	0.481991190949978	0.830693103873743	0.522958221536669
24	parent000024	15890	378	0.753330488558281	0.44564927186904	0.698970004336019	0.830076992616542	0.481888774273113	0.830076992616542	0.481888774273113
25	parent000025	13824	407	0.781587380615767	0.479605496774459	0.698970004336019	0.804590431886253	0.477681525890875	0.804590431886253	0.479605496774459
26	parent000026	13422	441	0.732444234277603	0.454650073273109	0.602059991327962	0.799385404510477	0.476829960780985	0.799385404510477	0.476829960780985
27	parent000027	13195	303	0.759482596120678	0.536354323530278	0.602059991327962	0.796407945090179	0.476344114488988	0.796407945090179	0.536354323530278
28	parent000028	12864	325	0.67298955471397	0.507160350480301	0.602059991327962	0.792015335167455	0.475629112109957	0.792015335167455	0.507160350480301
29	parent000029	12804	327	0.714880021366066	0.485320767015566	0.602059991327962	0.791212484821435	0.475498661221131	0.791212484821435	0.485320767015566
30	parent000030	12558	401	0.767995680483338	0.459605748743496	0.698970004336019	0.78789917229829	0.474961076829808	0.78789917229829	0.474961076829808
31	parent000031	12082	369	0.685850553313313	0.414217838698295	0.602059991327962	0.781386831005313	0.473908218050878	0.781386831005313	0.473908218050878
32	parent000032	11494	429	0.771646577868969	0.487718426533896	0.698970004336019	0.773149989767274	0.472584110813783	0.773149989767274	0.487718426533896
33	parent000033	11360	368	0.74061561957506	0.453198143888612	0.602059991327962	0.771241990853226	0.472278658517853	0.771241990853226	0.472278658517853
34	parent000034	11164	322	0.68480560562572	0.444853012730827	0.602059991327962	0.76842990063104	0.471829374527524	0.76842990063104	0.471829374527524
35	parent000035	10236	381	0.643423984355798	0.427968603846195	0.602059991327962	0.754757439087287	0.46966126359176	0.754757439087287	0.46966126359176
36	parent000036	10211	164	0.553936830982594	0.434642924616719	0.301029995663981	0.754380607099037	0.46960191300403	0.754380607099037	0.46960191300403
37	parent000037	9965	265	0.671790448432447	0.465109382980085	0.602059991327962	0.750647813766431	0.469015251100188	0.750647813766431	0.469015251100188
38	parent000038	9919	236	0.579369942964849	0.427838897564331	0.301029995663981	0.749944767547613	0.468905015500298	0.749944767547613	0.468905015500298
39	parent000039	9608	258	0.665982801531823	0.476979398419133	0.539590623023812	0.745149001574925	0.468155309895393	0.745149001574925	0.476979398419133
40	parent000040	9211	388	0.727252702234403	0.420263488333808	0.698970004336019	0.738916503679746	0.467187145826621	0.738916503679746	0.467187145826621
