parentName	parentAbundance	numOfChildren	mean	sd	median	predictedMean	predictedSd	mean.inference	sd.inference
1	parent000001	86898	655	1.12233274692358	0.414020112969959	1.14612803567824	1.14873840162138	0.449926576726422	1.14873840162138	0.449926576726422
2	parent000002	41869	572	0.931487164564273	0.445481709206875	0.903089986991944	0.910303447072454	0.412027993734323	0.931487164564273	0.445481709206875
3	parent000003	37579	551	0.91141682308944	0.441300715110778	0.903089986991944	0.879689261160381	0.40758466600796	0.91141682308944	0.441300715110778
4	parent000004	21669	431	0.746903285946079	0.397413934325765	0.698970004336019	0.74255411716803	0.389669871340193	0.746903285946079	0.397413934325765
5	parent000005	11961	289	0.623929405186437	0.391550332564328	0.602059991327962	0.63273300509959	0.382197724459473	0.63273300509959	0.391550332564328
6	parent000006	9155	246	0.561612599459357	0.323319282107329	0.477121254719662	0.596177396227848	0.382775271532079	0.596177396227848	0.382775271532079
7	parent000007	5506	155	0.510832552653017	0.340239388730167	0.301029995663981	0.545962702934951	0.387863369592076	0.545962702934951	0.387863369592076
8	parent000008	4650	122	0.487024557352775	0.337644047507946	0.301029995663981	0.53433718837273	0.390160355491356	0.53433718837273	0.390160355491356
9	parent000009	1467	40	0.595196798060751	0.530868467132559	0.389075625191822	0.519892670313139	0.410418997295947	0.595196798060751	0.530868467132559
10	parent000010	916	19	0.780562130603199	0.648856252461256	0.477121254719662	0.519714990697444	0.393113029560719	0.780562130603199	0.648856252461256
11	parent000011	627	14	0.535430098794385	0.310909174785153	0.389075625191822	0.50794010340512	0.353868993522842	0.535430098794385	0.353868993522842
12	parent000012	570	17	0.569187117900676	0.526081345952506	0.301029995663981	0.504519944818163	0.342862222450688	0.569187117900676	0.526081345952506
13	parent000013	499	15	0.405232387892398	0.226515303921645	0.301029995663981	0.511474434685894	0.340993123169232	0.511474434685894	0.340993123169232
14	parent000014	472	8	0.53029282762808	0.306588086418236	0.389075625191822	0.521300337120912	0.347236297637868	0.53029282762808	0.347236297637868
15	parent000015	444	9	0.573535891578306	0.325075277066355	0.477121254719662	0.53852608088768	0.36029489192867	0.573535891578306	0.36029489192867
16	parent000016	415	7	0.494198926822747	0.349327271251187	0.301029995663981	0.569884096681185	0.388780871526645	0.569884096681185	0.388780871526645
17	parent000017	413	12	0.697265173248019	0.520730791978726	0.539590623023812	0.572356522548341	0.390961379392567	0.697265173248019	0.520730791978726
18	parent000018	408	8	0.410412653587944	0.203639883607973	0.301029995663981	0.578452922469406	0.396107439006902	0.578452922469406	0.396107439006902
19	parent000019	386	11	0.404512059133643	0.242631253229612	0.301029995663981	0.615056723142816	0.431428192974784	0.615056723142816	0.431428192974784
20	parent000020	371	8	0.670685998111362	0.527444214931245	0.301029995663981	0.648092819747726	0.465490953429169	0.670685998111362	0.527444214931245
21	parent000021	353	5	0.655292360834649	0.266717027096123	0.698970004336019	0.689065210810652	0.505061534467971	0.689065210810652	0.505061534467971
22	parent000022	351	4	0.760348171289556	0.342130327808239	0.849485002168009	0.693313206239379	0.508727080292796	0.760348171289556	0.508727080292796
23	parent000023	325	8	0.700378965379222	0.646505891496444	0.539590623023812	0.770556767911454	0.581950790580628	0.770556767911454	0.646505891496444
24	parent000024	317	7	1.02125890695257	0.84788456022517	0.698970004336019	0.794665721621105	0.602816617239019	1.02125890695257	0.84788456022517
25	parent000025	313	2	0.539590623023812	0.337375674660507	0.539590623023812	0.804715976017022	0.610017247048253	0.804715976017022	0.610017247048253
26	parent000026	300	7	0.987573794478669	0.751052067999245	0.954242509439325	0.83930200091918	0.620241058102257	0.987573794478669	0.751052067999245
27	parent000027	298	12	0.719107058339343	0.574223903304364	0.389075625191822	0.844907869695289	0.620763844297632	0.844907869695289	0.620763844297632
28	parent000028	289	6	0.727681099836667	0.733210010218895	0.301029995663981	0.867561750557502	0.622384725726259	0.867561750557502	0.733210010218895
29	parent000029	285	6	0.906027107840126	0.734366857484692	0.588045629527841	0.874955430644542	0.623755080989438	0.906027107840126	0.734366857484692
30	parent000030	277	7	0.83461566040668	0.66050353388192	0.698970004336019	0.884648740566361	0.619036287281648	0.884648740566361	0.66050353388192
31	parent000031	267	4	1.23927246192125	0.812703392541282	1.24143679180438	0.889766067090655	0.594032117240091	1.23927246192125	0.812703392541282
32	parent000032	254	6	0.828422138294721	0.575362994725472	0.801029995663981	0.886794753514182	0.545931891731193	0.886794753514182	0.575362994725472
33	parent000033	246	2	0.899670274726791	0.597574554861541	0.899670274726791	0.881022607129708	0.518974260889597	0.899670274726791	0.597574554861541
34	parent000034	239	3	0.900810178815175	0.0546079384843637	0.903089986991944	0.87456418639082	0.505054712527948	0.900810178815175	0.505054712527948
35	parent000035	239	6	0.976028805150672	0.46990034050364	0.972241336075084	0.87456418639082	0.505054712527948	0.976028805150672	0.505054712527948
36	parent000036	234	5	1.08052792257942	0.566809644038471	1	0.864083064307098	0.503596057117728	1.08052792257942	0.566809644038471
37	parent000037	230	5	0.528690535297238	0.334419854362194	0.301029995663981	0.85104040088975	0.505724913545541	0.85104040088975	0.505724913545541
