parentName	parentAbundance	numOfChildren	mean	sd	median	predictedMean	predictedSd	mean.inference	sd.inference
1	parent000001	53387	632	1.31074552164045	0.639243123749028	1.36172783601759	1.2705467495447	0.666319839769336	1.31074552164045	0.666319839769336
2	parent000002	9296	287	0.931786390571284	0.681270332567081	0.778151250383644	0.974729987544061	0.611596396984703	0.974729987544061	0.681270332567081
3	parent000003	7705	262	0.883912248587317	0.61473414991021	0.698970004336019	0.947816311156958	0.60257733148058	0.947816311156958	0.61473414991021
4	parent000004	4731	167	0.889413601518504	0.653915637722873	0.602059991327962	0.881751331450093	0.576842080616312	0.889413601518504	0.653915637722873
5	parent000005	4537	174	0.805345864777433	0.590552412090149	0.602059991327962	0.876329213862754	0.574488784250753	0.876329213862754	0.590552412090149
6	parent000006	3494	127	0.81964586328502	0.597993388176609	0.602059991327962	0.843350471035923	0.559336078880801	0.843350471035923	0.597993388176609
7	parent000007	3389	132	0.782377143208096	0.518501300194067	0.602059991327962	0.839591685067764	0.557515193904613	0.839591685067764	0.557515193904613
8	parent000008	3157	130	0.721351686669139	0.559587850841545	0.477121254719662	0.830929710019072	0.553243968471922	0.830929710019072	0.559587850841545
9	parent000009	2979	106	0.884643230846655	0.604719252589701	0.602059991327962	0.823916675594014	0.549708281164678	0.884643230846655	0.604719252589701
10	parent000010	2920	123	0.776015290074629	0.544534687836786	0.602059991327962	0.82151500869406	0.54848134285653	0.82151500869406	0.54848134285653
11	parent000011	2907	105	0.87319312889663	0.595725228338125	0.698970004336019	0.820980396018772	0.54820710052768	0.87319312889663	0.595725228338125
12	parent000012	2824	87	0.87048787814455	0.55549674656032	0.778151250383644	0.817519319647346	0.54642171234722	0.87048787814455	0.55549674656032
13	parent000013	2656	78	0.764853959463617	0.46903884664262	0.698970004336019	0.810245850467696	0.542613206320402	0.810245850467696	0.542613206320402
14	parent000014	2514	118	0.861745500920623	0.632717258469695	0.650514997831991	0.803792335508638	0.53916933152647	0.861745500920623	0.632717258469695
15	parent000015	2462	219	0.607149238219808	0.378818906479578	0.477121254719662	0.801352836021711	0.537851524578842	0.801352836021711	0.537851524578842
16	parent000016	2349	107	0.745093687286487	0.552359778528924	0.602059991327962	0.79589965072531	0.534873785963097	0.79589965072531	0.552359778528924
17	parent000017	2155	94	0.864282252392393	0.571152276778288	0.698970004336019	0.78600421136548	0.529356543925629	0.864282252392393	0.571152276778288
18	parent000018	2082	72	0.691440075441233	0.445926967262694	0.602059991327962	0.782087150545799	0.527131641261561	0.782087150545799	0.527131641261561
19	parent000019	2080	82	0.646560017580571	0.467756602533596	0.301029995663981	0.781978227813407	0.527069438791175	0.781978227813407	0.527069438791175
20	parent000020	1960	83	0.779938997025262	0.523445563083514	0.602059991327962	0.775276718383769	0.523207465630872	0.779938997025262	0.523445563083514
21	parent000021	1822	71	0.804244927430134	0.572865393869699	0.602059991327962	0.767131578291511	0.518420308572718	0.804244927430134	0.572865393869699
22	parent000022	1752	78	0.717562005947094	0.461867042429196	0.602059991327962	0.762800668600529	0.515832865801409	0.762800668600529	0.515832865801409
23	parent000023	1747	82	0.763262306832675	0.51785410658416	0.602059991327962	0.762485804528111	0.515643610232313	0.763262306832675	0.51785410658416
24	parent000024	1743	89	0.719095898923524	0.453617689567456	0.602059991327962	0.762233369267302	0.515491766523514	0.762233369267302	0.515491766523514
25	parent000025	1591	61	0.718131957330053	0.476201188840585	0.602059991327962	0.752260752702017	0.509412782727676	0.752260752702017	0.509412782727676
26	parent000026	1568	66	0.632280253928194	0.470745807401387	0.389075625191822	0.750682777346623	0.50843647628545	0.750682777346623	0.50843647628545
27	parent000027	1557	65	0.723614550298869	0.45174353300321	0.602059991327962	0.749921219578628	0.507963877164806	0.749921219578628	0.507963877164806
28	parent000028	1415	81	0.832097585495928	0.562233857006166	0.602059991327962	0.739661145073314	0.501506417180927	0.832097585495928	0.562233857006166
29	parent000029	1390	71	0.877544303756358	0.562908127959858	0.778151250383644	0.737765977357344	0.500295141662207	0.877544303756358	0.562908127959858
30	parent000030	1329	55	0.770757698664397	0.513496824097491	0.602059991327962	0.733018632678418	0.497235451580333	0.770757698664397	0.513496824097491
31	parent000031	1329	51	0.638656480286584	0.389730941902247	0.602059991327962	0.733018632678418	0.497235451580333	0.733018632678418	0.497235451580333
32	parent000032	1300	55	0.611693171289022	0.387540334402102	0.477121254719662	0.730697139051382	0.495725937668417	0.730697139051382	0.495725937668417
33	parent000033	1270	66	0.816923473458867	0.572888421755881	0.738560627359831	0.728249291291815	0.494124773921066	0.816923473458867	0.572888421755881
34	parent000034	1232	49	0.666233498516011	0.417294321606979	0.602059991327962	0.725077843076411	0.492035772723901	0.725077843076411	0.492035772723901
35	parent000035	1204	47	0.723550619626842	0.47869172237059	0.602059991327962	0.722687857979541	0.490450655961587	0.723550619626842	0.490450655961587
36	parent000036	1199	50	0.617218982437615	0.353077649464488	0.539590623023812	0.722256158777213	0.490163342077776	0.722256158777213	0.490163342077776
37	parent000037	1124	53	0.780575094603609	0.458211022024363	0.698970004336019	0.715591485594133	0.485688921175423	0.780575094603609	0.485688921175423
38	parent000038	1102	48	0.662188836217673	0.413992621208695	0.602059991327962	0.713544815856156	0.484313615786888	0.713544815856156	0.484313615786888
39	parent000039	1018	49	0.701979293143901	0.458941273032364	0.602059991327962	0.704993131934118	0.478744569706204	0.704993131934118	0.478744569706204
40	parent000040	992	50	0.75171915211943	0.42109068751478	0.698970004336019	0.70208796999991	0.476902509148585	0.75171915211943	0.476902509148585
41	parent000041	987	62	0.805593198343842	0.575535390931936	0.602059991327962	0.701514178075467	0.476540976895006	0.805593198343842	0.575535390931936
42	parent000042	976	43	0.573330575038096	0.340009819750321	0.301029995663981	0.700234178007414	0.475736914647611	0.700234178007414	0.475736914647611
43	parent000043	967	60	0.849402613343806	0.515214213095645	0.778151250383644	0.699168527569724	0.475069890850887	0.849402613343806	0.515214213095645
44	parent000044	965	56	0.694262991467904	0.449725775821772	0.602059991327962	0.698929435259052	0.474920515000266	0.698929435259052	0.474920515000266
45	parent000045	943	46	0.701733939269128	0.549219693791548	0.539590623023812	0.696243373497336	0.473248709065791	0.701733939269128	0.549219693791548
46	parent000046	941	35	0.692463218217978	0.499957971684467	0.602059991327962	0.695993995363789	0.473094037501217	0.695993995363789	0.499957971684467
47	parent000047	936	47	0.579541760547167	0.342010966855781	0.301029995663981	0.69536668557148	0.472705328125309	0.69536668557148	0.472705328125309
48	parent000048	924	34	0.738113809652477	0.504706397075844	0.602059991327962	0.693838304326201	0.471760312905635	0.738113809652477	0.504706397075844
49	parent000049	906	44	0.770348096259209	0.48237755207775	0.602059991327962	0.69148370675699	0.470309313792488	0.770348096259209	0.48237755207775
50	parent000050	883	43	0.671826523950937	0.537059890886117	0.477121254719662	0.688362386936612	0.468392807901165	0.688362386936612	0.537059890886117
51	parent000051	846	52	0.675362004217955	0.486201686593961	0.602059991327962	0.683059692368419	0.465147356422791	0.683059692368419	0.486201686593961
52	parent000052	845	49	1.00858652208691	0.71456679353648	0.903089986991944	0.682911327746479	0.46505663673965	1.00858652208691	0.71456679353648
53	parent000053	833	38	0.589181215690061	0.328795542881688	0.477121254719662	0.681109401252479	0.463954838525793	0.681109401252479	0.463954838525793
54	parent000054	788	33	0.626061191015816	0.501212435606492	0.477121254719662	0.673980771376921	0.459588969157343	0.673980771376921	0.501212435606492
55	parent000055	781	46	0.767444659072103	0.499068515347686	0.602059991327962	0.672816342071094	0.458873600079685	0.767444659072103	0.499068515347686
56	parent000056	772	38	0.651755191913025	0.386829314056486	0.602059991327962	0.671296115243829	0.457938261937573	0.671296115243829	0.457938261937573
57	parent000057	770	29	0.607665453807136	0.442313969969276	0.477121254719662	0.670954703293931	0.457727968344407	0.670954703293931	0.457727968344407
58	parent000058	760	49	0.749250812612871	0.568461753052356	0.602059991327962	0.669227742824449	0.456662786851609	0.749250812612871	0.568461753052356
59	parent000059	749	33	0.632497464336249	0.398664430112396	0.477121254719662	0.667289011395799	0.455463807268798	0.667289011395799	0.455463807268798
60	parent000060	741	43	0.729110570166802	0.579660247688242	0.602059991327962	0.665852659369794	0.454573109568077	0.729110570166802	0.579660247688242
61	parent000061	729	37	0.668500611965512	0.502705881128416	0.602059991327962	0.663655355140502	0.453206157730009	0.668500611965512	0.502705881128416
62	parent000062	715	43	0.679798193874276	0.4789413002409	0.602059991327962	0.661024967049548	0.451562103724848	0.679798193874276	0.4789413002409
63	parent000063	700	43	0.562108474763884	0.36114264124297	0.301029995663981	0.658123781198935	0.449738021464384	0.658123781198935	0.449738021464384
64	parent000064	700	36	0.690325913345638	0.409768736289428	0.602059991327962	0.658123781198935	0.449738021464384	0.690325913345638	0.449738021464384
65	parent000065	688	49	0.676668809520759	0.3870799318974	0.602059991327962	0.655738722045383	0.448229158510738	0.676668809520759	0.448229158510738
66	parent000066	671	24	0.618556880340109	0.370614499545787	0.451544993495972	0.652258267161847	0.446010860155984	0.652258267161847	0.446010860155984
67	parent000067	664	40	0.883681802536004	0.667907529412601	0.650514997831991	0.650789315292803	0.44506834526005	0.883681802536004	0.667907529412601
68	parent000068	653	48	0.693969014644997	0.540728836451173	0.477121254719662	0.648437307401162	0.443551012648135	0.693969014644997	0.540728836451173
69	parent000069	651	38	0.70199979576077	0.344568707337658	0.690105620855803	0.648003825352853	0.44327022142326	0.70199979576077	0.44327022142326
70	parent000070	648	39	0.601882565760433	0.529377884992762	0.301029995663981	0.647350177767149	0.442846126802981	0.647350177767149	0.529377884992762
71	parent000071	644	36	0.603053721281322	0.388353260079616	0.477121254719662	0.646472198590844	0.442275159784291	0.646472198590844	0.442275159784291
72	parent000072	619	29	0.6376054692117	0.548841138873468	0.301029995663981	0.640812438241789	0.438556278630886	0.640812438241789	0.548841138873468
73	parent000073	611	26	0.650975052647941	0.434069095053898	0.477121254719662	0.638936165487826	0.437308027803811	0.650975052647941	0.437308027803811
74	parent000074	602	41	0.617993754022804	0.470224577833517	0.477121254719662	0.63678595929264	0.435867559863343	0.63678595929264	0.470224577833517
75	parent000075	602	36	0.595668394616117	0.423212074061104	0.477121254719662	0.63678595929264	0.435867559863343	0.63678595929264	0.435867559863343
76	parent000076	601	36	0.597843411336953	0.351770646190941	0.389075625191822	0.636543951131428	0.43570445852403	0.636543951131428	0.43570445852403
77	parent000077	594	32	0.631167413902415	0.423050094605053	0.477121254719662	0.634808822571305	0.434514920245034	0.634808822571305	0.434514920245034
78	parent000078	591	30	0.699071669215783	0.613506935968439	0.301029995663981	0.634043384832471	0.433979683964473	0.699071669215783	0.613506935968439
79	parent000079	588	37	0.510025342618097	0.349361672424556	0.301029995663981	0.633265004745299	0.433429330170478	0.633265004745299	0.433429330170478
80	parent000080	585	40	0.592657602837816	0.354904269888435	0.389075625191822	0.632473789418395	0.432863965536427	0.632473789418395	0.432863965536427
81	parent000081	570	34	0.602407148925483	0.394439854183979	0.539590623023812	0.628329335876505	0.429816146589404	0.628329335876505	0.429816146589404
82	parent000082	554	29	0.718034521924645	0.413088117039521	0.698970004336019	0.623576902918446	0.426173735514161	0.718034521924645	0.426173735514161
83	parent000083	552	22	0.627213377023014	0.526458088956432	0.301029995663981	0.62295993922494	0.425691215860793	0.627213377023014	0.526458088956432
84	parent000084	542	20	0.530696514690134	0.343218339530065	0.301029995663981	0.619802616919354	0.423191869974331	0.619802616919354	0.423191869974331
85	parent000085	540	23	0.566340051853076	0.441147626031336	0.301029995663981	0.619157081762534	0.422675096742846	0.619157081762534	0.441147626031336
86	parent000086	530	42	0.576643176379147	0.358489362293496	0.389075625191822	0.615862734245656	0.42001053779274	0.615862734245656	0.42001053779274
87	parent000087	528	43	0.63797846851662	0.398018653454364	0.602059991327962	0.615191039879264	0.419462018849212	0.63797846851662	0.419462018849212
88	parent000088	526	32	0.806959190102528	0.551784840340792	0.690105620855803	0.614515250035761	0.418908485108133	0.806959190102528	0.551784840340792
89	parent000089	518	33	0.640326582147081	0.444232169139128	0.602059991327962	0.611772794538113	0.416645940405679	0.640326582147081	0.444232169139128
90	parent000090	505	32	0.634266195820798	0.379600601896417	0.539590623023812	0.607194025539165	0.412816529000132	0.634266195820798	0.412816529000132
91	parent000091	493	18	0.606049230097471	0.446090013098234	0.301029995663981	0.602854072620839	0.409135927794798	0.606049230097471	0.446090013098234
92	parent000092	488	22	0.727940820720913	0.489751209874493	0.698970004336019	0.601019752419556	0.407567526656811	0.727940820720913	0.489751209874493
93	parent000093	485	27	0.752317495172511	0.602222980919038	0.602059991327962	0.599913099490132	0.406618016269992	0.752317495172511	0.602222980919038
94	parent000094	483	26	0.479784309562465	0.303327420016819	0.301029995663981	0.599173092236086	0.405981785162139	0.599173092236086	0.405981785162139
95	parent000095	481	28	0.592021076880559	0.37403727872001	0.389075625191822	0.598431460962804	0.405343152326339	0.598431460962804	0.405343152326339
96	parent000096	481	26	0.580763953808306	0.338018011060599	0.602059991327962	0.598431460962804	0.405343152326339	0.598431460962804	0.405343152326339
97	parent000097	478	36	0.784179565011342	0.523420483306878	0.698970004336019	0.5973162921983	0.404381044047985	0.784179565011342	0.523420483306878
98	parent000098	474	23	0.456095057209014	0.299214139216572	0.301029995663981	0.595825123399584	0.403091326167193	0.595825123399584	0.403091326167193
